name,url,model,price,currency,sku,release_date,brand,category,fuel_type,color,interior_color,vehicle_transmission,engine,total_km_driven,wheel_configuration,images,source,uniq_id,scraped_at
2020 Ford Escape,https://www.truecar.com/used-cars-for-sale/listing/1FMCU0H68LUA76407/2020-ford-escape/,Escape,,USD,1FMCU0H68LUA76407,2020,Ford,SUV,Gas,Ingot Silver Metallic,Ebony,Automatic,1.5L Inline-3 Gas Turbocharged,36402,FWD,https://listings-prod.tcimg.net/listings/18315/07/64/1FMCU0H68LUA76407/VLA7LVXJIMKMPESZGPYEI5LADA-cr-60.jpg | https://listings-prod.tcimg.net/listings/18315/07/64/1FMCU0H68LUA76407/NZT6UHWDNDWY5GDUPULJZY6MEU-cr-60.jpg | https://listings-prod.tcimg.net/listings/18315/07/64/1FMCU0H68LUA76407/U7ULB4KSOG5VMJTOWRB7HLFWOQ-cr-60.jpg | https://listings-prod.tcimg.net/listings/18315/07/64/1FMCU0H68LUA76407/AT76YB25OIXGYVY7W6ZJDBWOHU-cr-60.jpg | https://listings-prod.tcimg.net/listings/18315/07/64/1FMCU0H68LUA76407/27V57KSFTI7DSNWLL3EBFQ6QLY-cr-60.jpg,truecar,b9d76ac7-f458-5cd5-97bc-6c9c608d30e1,07/13/22
2016 Jeep Grand Cherokee,https://www.truecar.com/used-cars-for-sale/listing/1C4RJFAG5GC404830/2016-jeep-grand-cherokee/,Grand Cherokee,21897,USD,1C4RJFAG5GC404830,2016,Jeep,SUV,Gas,Bright White Clearcoat,Black,Automatic,3.6L V-6 Gas,94672,4WD,https://listings-prod.tcimg.net/listings/23176/30/48/1C4RJFAG5GC404830/CMXTRUKIBSW3XWI2H2KTNOJIEU-cr-60.jpg | https://listings-prod.tcimg.net/listings/23176/30/48/1C4RJFAG5GC404830/PUJ74XDHHKBNEMU2XTEBLTCS24-cr-60.jpg | https://listings-prod.tcimg.net/listings/23176/30/48/1C4RJFAG5GC404830/X2BHZR63A3QXTLAFDB7SFLYUGE-cr-60.jpg | https://listings-prod.tcimg.net/listings/23176/30/48/1C4RJFAG5GC404830/HCDY7KAUSIFPWOKJOABTPMXCPU-cr-60.jpg | https://listings-prod.tcimg.net/listings/23176/30/48/1C4RJFAG5GC404830/6PVABE3CYUH2RN6RV53ZHKAM7E-cr-60.jpg,truecar,b5ced723-09c4-53e5-a303-4d01846908da,07/13/22
2014 Ford F-150,https://www.truecar.com/used-cars-for-sale/listing/1FTFW1E60EFB79026/2014-ford-f-150/,F-150,33000,USD,1FTFW1E60EFB79026,2014,Ford,Pickup Truck,Gas,White,Marina Blue/Black,Automatic,6.2L V-8 Gas,55475,4WD,https://listings-prod.tcimg.net/listings/104997/26/90/1FTFW1E60EFB79026/PE25GTVXNU7SBTRFWVOWARPHBY-cr-60.jpg | https://listings-prod.tcimg.net/listings/104997/26/90/1FTFW1E60EFB79026/5O5GGVH3EPFKZ3CYZAPV34OO6I-cr-60.jpg | https://listings-prod.tcimg.net/listings/104997/26/90/1FTFW1E60EFB79026/S3RIF5SJXYZAJY2PAQZO2M3FTQ-cr-60.jpg | https://listings-prod.tcimg.net/listings/104997/26/90/1FTFW1E60EFB79026/UDIMJNHTJMXGJFNAHCEGJV2SJY-cr-60.jpg | https://listings-prod.tcimg.net/listings/104997/26/90/1FTFW1E60EFB79026/TDMQM4RCBDRMXUXKK2UL272J5Y-cr-60.jpg,truecar,054e0f70-bfcb-537f-a8ef-049c5573da4d,07/13/22
2019 Ram 1500,https://www.truecar.com/used-cars-for-sale/listing/1C6RRFFG6KN818124/2019-ram-1500/,1500,39998,USD,1C6RRFFG6KN818124,2019,Ram,Pickup Truck,Gas,Maximum Steel Metallic Clearcoat,Black,Automatic,3.6L V-6 Gas,22551,4WD,https://listings-prod.tcimg.net/listings/5613/24/81/1C6RRFFG6KN818124/YTH3XQ34XVO6UUI2MMIU4PVWAE-og-60.jpg | https://listings-prod.tcimg.net/listings/5613/24/81/1C6RRFFG6KN818124/UM2WJNNE7GOUD7KSDNH6U3ZLVE-og-60.jpg | https://listings-prod.tcimg.net/listings/5613/24/81/1C6RRFFG6KN818124/3TSP3M74UFTI4EFIRE3E3QOVII-og-60.jpg | https://listings-prod.tcimg.net/listings/5613/24/81/1C6RRFFG6KN818124/XXDJAWFCYZPPFUDSNSVBDGHYU4-og-60.jpg | https://listings-prod.tcimg.net/listings/5613/24/81/1C6RRFFG6KN818124/MAVPTXIN7LKG2SQGJ7BUMTHVH4-og-60.jpg,truecar,90e216bb-7b51-520a-bd69-cd672eccf792,07/13/22
2020 Jeep Compass,https://www.truecar.com/used-cars-for-sale/listing/3C4NJDCB8LT221361/2020-jeep-compass/,Compass,28455,USD,3C4NJDCB8LT221361,2020,Jeep,SUV,Gas,Granite Crystal Metallic Clearcoat,Black,Automatic,2.4L Inline-4 Gas,42961,4WD,https://listings-prod.tcimg.net/listings/4143/61/13/3C4NJDCB8LT221361/5YKJINTKHQMS4TU3JYYLRGUD6A-cr-60.jpg | https://listings-prod.tcimg.net/listings/4143/61/13/3C4NJDCB8LT221361/Y5WMAEBZTHAFFJO73BLHKUO4HI-cr-60.jpg | https://listings-prod.tcimg.net/listings/4143/61/13/3C4NJDCB8LT221361/SRQQNFCUZRLRL2M6OY4MLZNM7U-cr-60.jpg | https://listings-prod.tcimg.net/listings/4143/61/13/3C4NJDCB8LT221361/JBI7X7VOYOJOOT7H45VKJDVK7Y-cr-60.jpg | https://listings-prod.tcimg.net/listings/4143/61/13/3C4NJDCB8LT221361/C62ZRZNKNEYEGFPFA2PW7VK46Q-cr-60.jpg,truecar,76a2012b-d319-5c3d-a5e4-6d0d8b638bb6,07/13/22
2015 Toyota Sequoia,https://www.truecar.com/used-cars-for-sale/listing/5TDYY5G17FS059978/2015-toyota-sequoia/,Sequoia,31471,USD,5TDYY5G17FS059978,2015,Toyota,SUV,Gas,White,Sand Beige,Automatic,5.7L V-8 Gas,106061,RWD,https://listings-prod.tcimg.net/listings/86601/78/99/5TDYY5G17FS059978/HTPPNK2VL6P5VUJCFTKTZUR3B4-cr-60.jpg | https://listings-prod.tcimg.net/listings/86601/78/99/5TDYY5G17FS059978/JFCGC2NDJ6ZJTWIJXATA4HG5PU-cr-60.jpg | https://listings-prod.tcimg.net/listings/86601/78/99/5TDYY5G17FS059978/2GOFJ2MYI3RDWHR53E6PN44CZA-cr-60.jpg | https://listings-prod.tcimg.net/listings/86601/78/99/5TDYY5G17FS059978/2KMFSDKWB3B45OUETG6ZZURX6U-cr-60.jpg | https://listings-prod.tcimg.net/listings/86601/78/99/5TDYY5G17FS059978/HBIOQ73M4S646V2NCWTGJDB4X4-cr-60.jpg,truecar,03a683c1-8b58-57fe-ac24-4990a93e0714,07/13/22
2020 Tesla Model 3,https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EC1LF625035/2020-tesla-model-3/,Model 3,64928,USD,5YJ3E1EC1LF625035,2020,Tesla,Sedan,Electric,Pearl White Multi-Coat,Black,Automatic,L - Electric,19391,AWD,https://listings-prod.tcimg.net/listings/17885/35/50/5YJ3E1EC1LF625035/7OMHPKAQ5K6M5N35A5FH55NNWA-cr-60.jpg | https://listings-prod.tcimg.net/listings/17885/35/50/5YJ3E1EC1LF625035/54J72LRJUBXBWA3OZM6BS7B37I-cr-60.jpg | https://listings-prod.tcimg.net/listings/17885/35/50/5YJ3E1EC1LF625035/2A3DJDFLGTVIQM52QTUK5PCQOM-cr-60.jpg | https://listings-prod.tcimg.net/listings/17885/35/50/5YJ3E1EC1LF625035/L5XZNSIVCSYAN32KAOVV4AX66I-cr-60.jpg | https://listings-prod.tcimg.net/listings/17885/35/50/5YJ3E1EC1LF625035/IUHDMVHCGFAQK5EDJNVI4GDMXE-cr-60.jpg,truecar,6fbcb5bc-1d09-5998-bf8e-1b15fa587e8f,07/13/22
2017 Ford F-150,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1CG2HFA94376/2017-ford-f-150/,F-150,37779,USD,1FTEW1CG2HFA94376,2017,Ford,Pickup Truck,Gas,Magnetic Metallic,Black,Automatic,3.5L V-6 Gas Turbocharged,52523,RWD,,truecar,87f73906-1f76-5f5c-9182-8dfa1247dd0b,07/13/22
2021 Volkswagen Arteon,https://www.truecar.com/used-cars-for-sale/listing/WVWHR7AN7ME009556/2021-volkswagen-arteon/,Arteon,40956,USD,WVWHR7AN7ME009556,2021,Volkswagen,Hatchback,Gas,Lapiz Blue Metallic,Mistral Gray/Raven,Automatic,2.0L Inline-4 Gas Turbocharged,11142,FWD,https://listings-prod.tcimg.net/listings/35331/56/95/WVWHR7AN7ME009556/B5F2CFA7UOHJIXXYSO7JXH24IQ-cr-60.jpg | https://listings-prod.tcimg.net/listings/35331/56/95/WVWHR7AN7ME009556/N4FTNWWK66NJU7GLFHUAPRQ7IM-cr-60.jpg | https://listings-prod.tcimg.net/listings/35331/56/95/WVWHR7AN7ME009556/MHYFEAODTDQKZRTAKD4VOG6OHM-cr-60.jpg | https://listings-prod.tcimg.net/listings/35331/56/95/WVWHR7AN7ME009556/WCMJOQUSBNHCPOI5SKLUXEDXHM-cr-60.jpg | https://listings-prod.tcimg.net/listings/35331/56/95/WVWHR7AN7ME009556/GS26SRKO4WBSU2IDIYX7EZKVBI-cr-60.jpg,truecar,be4cc650-a279-5e51-ad38-06452bb5e2b2,07/13/22
2012 Chevrolet Equinox,https://www.truecar.com/used-cars-for-sale/listing/2GNALBEK3C6322975/2012-chevrolet-equinox/,Equinox,9991,USD,2GNALBEK3C6322975,2012,Chevrolet,SUV,Gas,Black,Jet Black,Automatic,2.4L Inline-4 Gas,140624,FWD,,truecar,d645522d-c6a0-58ef-8eaa-da4a8a2b8f55,07/13/22
2019 Toyota Sequoia,https://www.truecar.com/used-cars-for-sale/listing/5TDDY5G12KS166607/2019-toyota-sequoia/,Sequoia,60559,USD,5TDDY5G12KS166607,2019,Toyota,SUV,Gas,Blizzard Pearl,Redrock/Black,Automatic,5.7L V-8 Gas,45996,4WD,https://listings-prod.tcimg.net/listings/8968/07/66/5TDDY5G12KS166607/QHAU47UZO75SNOBMI4ZKUKVINI-cr-60.jpg | https://listings-prod.tcimg.net/listings/8968/07/66/5TDDY5G12KS166607/GZAORDJN2E54OPNA23DE63J3RE-og-60.jpg | https://listings-prod.tcimg.net/listings/8968/07/66/5TDDY5G12KS166607/G3TT52JWV6N5A4R7UZMC5VV22Q-og-60.jpg | https://listings-prod.tcimg.net/listings/8968/07/66/5TDDY5G12KS166607/F2QKBGHCRZSPAJHXQB2GWRFSII-og-60.jpg | https://listings-prod.tcimg.net/listings/8968/07/66/5TDDY5G12KS166607/BQSXZNUS2QYWFGUGCMGRO7NHDE-og-60.jpg,truecar,0b761ee4-afa0-5b33-90f6-760a2c5d3772,07/13/22
2020 Land Rover Range Rover Evoque,https://www.truecar.com/used-cars-for-sale/listing/SALZP2FXXLH059543/2020-land-rover-range-rover-evoque/,Range Rover Evoque,46998,USD,SALZP2FXXLH059543,2020,Land Rover,SUV,Gas,Eiger Grey Metallic,Ebony,Automatic,2.0L Inline-4 Gas Turbocharged,18040,AWD,https://listings-prod.tcimg.net/listings/21831/43/95/SALZP2FXXLH059543/5W5NFINRMGWCBTG4P64EMFS7OY-cr-60.jpg | https://listings-prod.tcimg.net/listings/21831/43/95/SALZP2FXXLH059543/DRVZIOGWUX6RKXUC25TEP3JZO4-cr-60.jpg | https://listings-prod.tcimg.net/listings/21831/43/95/SALZP2FXXLH059543/AMYU6MEL6GUFSUFYRWIUJL4ED4-cr-60.jpg | https://listings-prod.tcimg.net/listings/21831/43/95/SALZP2FXXLH059543/HVAGAFRSE3GCPIJKLMWOU43B7A-cr-60.jpg | https://listings-prod.tcimg.net/listings/21831/43/95/SALZP2FXXLH059543/LTSQ4NW5MNYFDVI73GCVRTPV6Q-cr-60.jpg,truecar,0af8f696-480d-5176-bcc4-fe6abe15298f,07/13/22
2007 Porsche 911,https://www.truecar.com/used-cars-for-sale/listing/WP0CA29937S765368/2007-porsche-911/,911,48998,USD,WP0CA29937S765368,2007,Porsche,Convertible,Gas,Arctic Silver Metallic With Black Top,Black Leather Interior,Manual,3.6L Flat-6 Gas,75347,RWD,https://listings-prod.tcimg.net/listings/31074/68/53/WP0CA29937S765368/NVSELPQCETM5TGAN7NPOTRNACE-cr-60.jpg | https://listings-prod.tcimg.net/listings/31074/68/53/WP0CA29937S765368/D5VOBSROVOIAV7MQGBTP2KAXRY-cr-60.jpg | https://listings-prod.tcimg.net/listings/31074/68/53/WP0CA29937S765368/HM7H34ZGBMJ2Q4QJWI2IOHRXRI-cr-60.jpg | https://listings-prod.tcimg.net/listings/31074/68/53/WP0CA29937S765368/NR5X25BMK7FDLTPE7SQGIK2IHI-cr-60.jpg | https://listings-prod.tcimg.net/listings/31074/68/53/WP0CA29937S765368/SLQ6S7OH7EWLPP4XGPLK6N5L4A-cr-60.jpg,truecar,af604d7f-5ede-57dd-ad05-f5185e48c2a3,07/13/22
2017 Honda CR-V,https://www.truecar.com/used-cars-for-sale/listing/2HKRW2H59HH676995/2017-honda-cr-v/,CR-V,,USD,2HKRW2H59HH676995,2017,Honda,SUV,Gas,White Diamond Pearl,Black,Automatic,1.5L Inline-4 Gas Turbocharged,73078,AWD,,truecar,a05b8408-17f6-5a20-80d6-642a2bfc3fee,07/13/22
2019 Toyota Sienna,https://www.truecar.com/used-cars-for-sale/listing/5TDYZ3DC5KS977908/2019-toyota-sienna/,Sienna,39000,USD,5TDYZ3DC5KS977908,2019,Toyota,Minivan,Gas,Blizzard Pearl,Ash,Automatic,3.5L V-6 Gas,44437,FWD,https://listings-prod.tcimg.net/listings/7719/08/79/5TDYZ3DC5KS977908/WNYKPALHOYCQ3L2WPIEH5E7KLE-cr-60.jpg | https://listings-prod.tcimg.net/listings/7719/08/79/5TDYZ3DC5KS977908/NLWZA277D2T4J465IPXBEHZC2E-cr-60.jpg | https://listings-prod.tcimg.net/listings/7719/08/79/5TDYZ3DC5KS977908/IV6VJ2Z7HLBLJ6P3WIS7NEXGJQ-cr-60.jpg | https://listings-prod.tcimg.net/listings/7719/08/79/5TDYZ3DC5KS977908/VJAWPK57LQF3JJO3EMDCFCKGKM-cr-60.jpg | https://listings-prod.tcimg.net/listings/7719/08/79/5TDYZ3DC5KS977908/IN4BSJKCEIYK3KN7ZUTI6LLUVI-cr-60.jpg,truecar,a8e897ef-e2d8-5a52-b955-c6788440770f,07/13/22
2018 Hyundai Elantra,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF0JH376218/2018-hyundai-elantra/,Elantra,16995,USD,5NPD84LF0JH376218,2018,Hyundai,Sedan,Gas,Phantom Black,Gray,Automatic,2.0L Inline-4 Gas,61372,FWD,https://listings-prod.tcimg.net/listings/77038/18/62/5NPD84LF0JH376218/FOUWKGZA3E5PCK7TNM5OHB2DDA-cr-60.jpg | https://listings-prod.tcimg.net/listings/77038/18/62/5NPD84LF0JH376218/FRRDM2QE7X7HFQZT5LE3IK7UKU-cr-60.jpg | https://listings-prod.tcimg.net/listings/77038/18/62/5NPD84LF0JH376218/I6DU5ZKHND7TYHGFUTMQSPVLNI-cr-60.jpg | https://listings-prod.tcimg.net/listings/77038/18/62/5NPD84LF0JH376218/JGXZTNETGYRJV7TCI32RJDRL3A-cr-60.jpg | https://listings-prod.tcimg.net/listings/77038/18/62/5NPD84LF0JH376218/LAC6NUA2GELAO6PKVLFDE2YTD4-cr-60.jpg,truecar,f5d83397-8ee3-59f2-a854-680ab67dc56b,07/13/22
2021 Nissan Murano,https://www.truecar.com/used-cars-for-sale/listing/5N1AZ2DS8MC121098/2021-nissan-murano/,Murano,43997,USD,5N1AZ2DS8MC121098,2021,Nissan,SUV,Gas,Pearl White Tricoat,Graphite,Automatic,3.5L V-6 Gas,43,AWD,https://listings-prod.tcimg.net/listings/16853/98/10/5N1AZ2DS8MC121098/CYOTFGTG72YLGCKQQQIHVM3TXI-cr-60.jpg | https://listings-prod.tcimg.net/listings/16853/98/10/5N1AZ2DS8MC121098/QCZVHK2HWJHO2DBY7U3CABPXKQ-cr-60.jpg | https://listings-prod.tcimg.net/listings/16853/98/10/5N1AZ2DS8MC121098/FZKLA6JQY3WDMES62H24DQDK6U-cr-60.jpg | https://listings-prod.tcimg.net/listings/16853/98/10/5N1AZ2DS8MC121098/Y3RD6ZGD5OVBUHOYZ5ZFHS6CWQ-cr-60.jpg | https://listings-prod.tcimg.net/listings/16853/98/10/5N1AZ2DS8MC121098/TRR4XSE2XANNKBOEYVEM2MZOOY-cr-60.jpg,truecar,e75f6068-28d4-50b5-8e1d-196cd3ec25f9,07/13/22
2015 Dodge Charger,https://www.truecar.com/used-cars-for-sale/listing/2C3CDXCT5FH824861/2015-dodge-charger/,Charger,30000,USD,2C3CDXCT5FH824861,2015,Dodge,Sedan,Gas,Torred,Black,Automatic,5.7L V-8 Gas,64202,RWD,https://listings-prod.tcimg.net/listings/25970/61/48/2C3CDXCT5FH824861/W2LJMP73JIVAYOHGO4RPXN4OFA-cr-60.jpg | https://listings-prod.tcimg.net/listings/25970/61/48/2C3CDXCT5FH824861/II34DUNGH2DTHCODL6L2L3W3WM-cr-60.jpg | https://listings-prod.tcimg.net/listings/25970/61/48/2C3CDXCT5FH824861/APQEX4DHSXP6A4DLRECVU5EY3Q-cr-60.jpg | https://listings-prod.tcimg.net/listings/25970/61/48/2C3CDXCT5FH824861/WFDPZOIN4ETCJXPUVUJCRBAI5A-cr-60.jpg | https://listings-prod.tcimg.net/listings/25970/61/48/2C3CDXCT5FH824861/AMOHLBPWV6RILK5N4IIWGSDQ7E-cr-60.jpg,truecar,4fcf8cb5-15c1-5adb-b579-d1eb657c767d,07/13/22
2022 Volvo XC60,https://www.truecar.com/used-cars-for-sale/listing/YV4L12RKXN1940248/2022-volvo-xc60/,XC60,46990,USD,YV4L12RKXN1940248,2022,Volvo,SUV,Gas,Denim Blue Metallic,Charcoal,Automatic,2.0L Inline-4 Gas Turbocharged,6369,AWD,https://listings-prod.tcimg.net/listings/129470/48/02/YV4L12RKXN1940248/SGD6BETK35QPCL6KJAVO3C3C3E-cr-60.jpg | https://listings-prod.tcimg.net/listings/129470/48/02/YV4L12RKXN1940248/BDTN7G5YHSV2IEW5LAKSKOVB6M-cr-60.jpg | https://listings-prod.tcimg.net/listings/129470/48/02/YV4L12RKXN1940248/ANHCT7YLYV7YIMZ543S2HUOIMI-cr-60.jpg | https://listings-prod.tcimg.net/listings/129470/48/02/YV4L12RKXN1940248/JD4VDDLWG3DT4BDTBRUNGRYI4I-cr-60.jpg | https://listings-prod.tcimg.net/listings/129470/48/02/YV4L12RKXN1940248/DAWUJ3SCGROZYWGNOPL724R3JE-cr-60.jpg,truecar,d832ea69-815b-5dfd-b168-85846596f2ca,07/13/22
2019 BMW M5,https://www.truecar.com/used-cars-for-sale/listing/WBSJF0C51KB285902/2019-bmw-m5/,M5,69888,USD,WBSJF0C51KB285902,2019,BMW,Sedan,Gas,Black Sapphire Metallic,Black,Automatic,4.4L V-8 Gas Turbocharged,33452,AWD,https://listings-prod.tcimg.net/listings/16761/02/59/WBSJF0C51KB285902/PPWSTUFKHTLU36VB6QLM65C4AI-cr-60.jpg | https://listings-prod.tcimg.net/listings/16761/02/59/WBSJF0C51KB285902/ZHMRVGWMFI3O6VYRQOOKBUN34Y-cr-60.jpg | https://listings-prod.tcimg.net/listings/16761/02/59/WBSJF0C51KB285902/YPZ4SQRSJOJFFXKNOGMF2WB7FI-cr-60.jpg | https://listings-prod.tcimg.net/listings/16761/02/59/WBSJF0C51KB285902/TEII7K6QJVJ2IFRMGTU3K4PENE-cr-60.jpg | https://listings-prod.tcimg.net/listings/16761/02/59/WBSJF0C51KB285902/G4R6WUWRPMSWCMYZ5EHUVCELMI-cr-60.jpg,truecar,7fc8ea9c-d966-5333-8623-f1a1abb83cf7,07/13/22
2010 Toyota FJ Cruiser,https://www.truecar.com/used-cars-for-sale/listing/JTEBU4BF2AK089884/2010-toyota-fj-cruiser/,FJ Cruiser,23892,USD,JTEBU4BF2AK089884,2010,Toyota,SUV,Gas,Iceberg,Dark Charcoal,Automatic,4.0L V-6 Gas,143548,4WD,https://listings-prod.tcimg.net/listings/32446/84/98/JTEBU4BF2AK089884/QIHECD6MVYUWWQYNE3CVWQTXJ4-cr-60.jpg | https://listings-prod.tcimg.net/listings/32446/84/98/JTEBU4BF2AK089884/4WITEBQEJT2B53LOYYVD3K2IHQ-cr-60.jpg | https://listings-prod.tcimg.net/listings/32446/84/98/JTEBU4BF2AK089884/LEMWCQTU4D7UBJ4JW6YHKR66P4-cr-60.jpg | https://listings-prod.tcimg.net/listings/32446/84/98/JTEBU4BF2AK089884/LPWOHC4FXKXW4CP2AGXZBSMNE4-cr-60.jpg | https://listings-prod.tcimg.net/listings/32446/84/98/JTEBU4BF2AK089884/NPJXDDMZTJOBRPESMGOKVH5HUM-cr-60.jpg,truecar,b87172a3-69b5-5b12-9fa2-ff6549ef4ef2,07/13/22
2014 Nissan Rogue,https://www.truecar.com/used-cars-for-sale/listing/5N1AT2MT6EC816207/2014-nissan-rogue/,Rogue,16900,USD,5N1AT2MT6EC816207,2014,Nissan,SUV,Gas,Super Black,Almond,Automatic,2.5L Inline-4 Gas,117167,FWD,https://listings-prod.tcimg.net/listings/29988/07/62/5N1AT2MT6EC816207/MG5QF736XLAW2MRXXTMIKI2LCQ-cr-60.jpg | https://listings-prod.tcimg.net/listings/29988/07/62/5N1AT2MT6EC816207/N3GMAHKASIQZO4NDIEIGIPHUOI-cr-60.jpg | https://listings-prod.tcimg.net/listings/29988/07/62/5N1AT2MT6EC816207/I5QRQXSKWXQSYJSGHGMQRRPJMI-cr-60.jpg | https://listings-prod.tcimg.net/listings/29988/07/62/5N1AT2MT6EC816207/S5TGI2DTLV2EURGYM765HODWEE-cr-60.jpg | https://listings-prod.tcimg.net/listings/29988/07/62/5N1AT2MT6EC816207/65QJEJ3PHIOY3A5KM3PEY6FVDA-cr-60.jpg,truecar,fcf4298c-c1ec-5078-bc26-789e6ba651d7,07/13/22
2019 Honda Passport,https://www.truecar.com/used-cars-for-sale/listing/5FNYF8H92KB026882/2019-honda-passport/,Passport,35322,USD,5FNYF8H92KB026882,2019,Honda,SUV,Gas,Modern Steel Metallic,Black,Automatic,3.5L V-6 Gas,29888,AWD,https://listings-prod.tcimg.net/listings/3237/82/68/5FNYF8H92KB026882/C27ID3H37T6TSF3VM64DSG3GWQ-cr-60.jpg | https://listings-prod.tcimg.net/listings/3237/82/68/5FNYF8H92KB026882/QBAQVU2OXYGOI77GGI25BCMC4Q-cr-60.jpg | https://listings-prod.tcimg.net/listings/3237/82/68/5FNYF8H92KB026882/ESUEVTSPAFCCBIURY6S3B3LNY4-cr-60.jpg | https://listings-prod.tcimg.net/listings/3237/82/68/5FNYF8H92KB026882/EQ7RE7UNMTQCPXWFGKDXVE2CWY-cr-60.jpg | https://listings-prod.tcimg.net/listings/3237/82/68/5FNYF8H92KB026882/VQZNKXCUIMJVWUUVZYTWOY4J3M-cr-60.jpg,truecar,5458f928-f192-5808-98ee-f04085efcbe5,07/13/22
2015 Chevrolet Colorado,https://www.truecar.com/used-cars-for-sale/listing/1GCGTBE33F1191050/2015-chevrolet-colorado/,Colorado,26505,USD,1GCGTBE33F1191050,2015,Chevrolet,Pickup Truck,Gas,Black,Jet Black,Automatic,3.6L V-6 Gas,80352,4WD,https://listings-prod.tcimg.net/listings/24315/50/10/1GCGTBE33F1191050/FXDZW577E7FDIZNWVLDQZIOOPA-cr-60.jpg | https://listings-prod.tcimg.net/listings/24315/50/10/1GCGTBE33F1191050/HA7653BX5JVBFGFWHLBNMC2KUQ-cr-60.jpg | https://listings-prod.tcimg.net/listings/24315/50/10/1GCGTBE33F1191050/JJQJKLZGBZGYU6ZV2WN5A67HIQ-cr-60.jpg | https://listings-prod.tcimg.net/listings/24315/50/10/1GCGTBE33F1191050/3W45A4JYPOZDLEUQJ5HF53AFWU-cr-60.jpg | https://listings-prod.tcimg.net/listings/24315/50/10/1GCGTBE33F1191050/43L35ILULQKKCF3RTXUNVGYU5Q-cr-60.jpg,truecar,00246f10-1eb6-531d-8211-886560f4c4f7,07/13/22
2014 Ram 1500,https://www.truecar.com/used-cars-for-sale/listing/1C6RR6KT0ES356703/2014-ram-1500/,1500,12400,USD,1C6RR6KT0ES356703,2014,Ram,Pickup Truck,Gas,Blue Streak Pearlcoat,Diesel Gray/Black,Automatic,5.7L V-8 Gas,216950,RWD,https://listings-prod.tcimg.net/listings/87995/03/67/1C6RR6KT0ES356703/BDXXKQUQ47U57IVP4VSL566FII-cr-60.jpg,truecar,c1338960-ac74-51d8-883b-2bfdaec23c30,07/13/22
2016 Chevrolet Trax,https://www.truecar.com/used-cars-for-sale/listing/3GNCJKSB7GL272845/2016-chevrolet-trax/,Trax,16999,USD,3GNCJKSB7GL272845,2016,Chevrolet,SUV,Gas,Silver Ice Metallic,Jet Black,Automatic,1.4L Inline-4 Gas Turbocharged,32336,FWD,https://listings-prod.tcimg.net/listings/134412/45/28/3GNCJKSB7GL272845/FHWGNUIL63GS3BDLWMHQ2LBCLY-cr-60.jpg | https://listings-prod.tcimg.net/listings/134412/45/28/3GNCJKSB7GL272845/SIGKP7AVOEPYU5E5AKCCFZBGFY-og-60.jpg | https://listings-prod.tcimg.net/listings/134412/45/28/3GNCJKSB7GL272845/LKSMFJUFES3VDOS5X35SGEA3FU-og-60.jpg | https://listings-prod.tcimg.net/listings/134412/45/28/3GNCJKSB7GL272845/6FG4U324ZAAPVYKQ23D323FTDI-og-60.jpg | https://listings-prod.tcimg.net/listings/134412/45/28/3GNCJKSB7GL272845/ZDMTJJZBQAILKTSSIX2NNHQHRQ-og-60.jpg,truecar,7baa5d65-479a-5c14-80e0-75cead6f71c2,07/13/22
2021 Chevrolet Silverado 2500HD,https://www.truecar.com/used-cars-for-sale/listing/1GC4YRE78MF241215/2021-chevrolet-silverado-2500hd/,Silverado 2500HD,80250,USD,1GC4YRE78MF241215,2021,Chevrolet,Pickup Truck,Gas,Cherry Red Tintcoat,Jet Black/Umber,Automatic,6.6L V-8 Gas,5771,4WD,https://listings-prod.tcimg.net/listings/7522/15/12/1GC4YRE78MF241215/TLCHAWAAE7REY2X7CBRQH33DFY-cr-60.jpg | https://listings-prod.tcimg.net/listings/7522/15/12/1GC4YRE78MF241215/TNLAP6Z32FQATMO46XPII3NR3E-cr-60.jpg | https://listings-prod.tcimg.net/listings/7522/15/12/1GC4YRE78MF241215/EJASTO4ZXSWEKZLNMJBVEXJLHQ-cr-60.jpg | https://listings-prod.tcimg.net/listings/7522/15/12/1GC4YRE78MF241215/GBTIITRCZQBTMMOD4R6BKFZBH4-cr-60.jpg | https://listings-prod.tcimg.net/listings/7522/15/12/1GC4YRE78MF241215/OHZAPUXVYYCFPLDRIDTCZNTBIA-cr-60.jpg,truecar,8118e37a-ec5c-5d00-b14b-ab2ef4ca4fab,07/13/22
