name,url,model,price,currency,sku,release_date,brand,category,fuel_type,color,interior_color,vehicle_transmission,engine,total_km_driven,wheel_configuration,images,source,uniq_id,scraped_at
2020 Nissan Rogue,https://www.truecar.com/used-cars-for-sale/listing/KNMAT2MT9LP518440/2020-nissan-rogue/,Rogue,25778,USD,KNMAT2MT9LP518440,2020,Nissan,SUV,Gas,Gun Metallic,Charcoal,Automatic,2.5L Inline-4 Gas,48789,FWD,https://listings-prod.tcimg.net/listings/9583/40/84/KNMAT2MT9LP518440/FKTX6QGTXRI7Y4QXQSUPZM2UJA-cr-60.jpg | https://listings-prod.tcimg.net/listings/9583/40/84/KNMAT2MT9LP518440/IMJJSLYBHQWSDFAJKNKIOCJ6TA-cr-60.jpg | https://listings-prod.tcimg.net/listings/9583/40/84/KNMAT2MT9LP518440/SJFASMGHL73J5CQL3L7NJGRKJY-cr-60.jpg | https://listings-prod.tcimg.net/listings/9583/40/84/KNMAT2MT9LP518440/MACEPNQFGX3DC7SUU7J26M6DCI-cr-60.jpg | https://listings-prod.tcimg.net/listings/9583/40/84/KNMAT2MT9LP518440/LNL32A56TG6FNDAEBHVDD5PDNQ-cr-60.jpg,truecar,edc58dc3-5ae8-500f-ada0-3811ec84212d,07/13/22
2018 Ford F-150,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1EP3JFC15144/2018-ford-f-150/,F-150,33000,USD,1FTEW1EP3JFC15144,2018,Ford,Pickup Truck,Gas,Lead Foot,Black,Automatic,2.7L V-6 Gas Turbocharged,91808,4WD,https://listings-prod.tcimg.net/listings/171839/44/51/1FTEW1EP3JFC15144/RMAXY5W3GPAESBT4OEYEGW4QXI-cr-60.jpg,truecar,78614f39-543b-5c03-bcfd-235d1102d0fb,07/13/22
2021 Jeep Wrangler,https://www.truecar.com/used-cars-for-sale/listing/1C4HJXEG9MW671023/2021-jeep-wrangler/,Wrangler,53339,USD,1C4HJXEG9MW671023,2021,Jeep,SUV,Gas,Firecracker Red Clearcoat,Black,Manual,3.6L V-6 Gas,8843,4WD,https://listings-prod.tcimg.net/listings/37330/23/10/1C4HJXEG9MW671023/K4W3W3PL3H3VJVCFUY3AL7A4NY-cr-60.jpg | https://listings-prod.tcimg.net/listings/37330/23/10/1C4HJXEG9MW671023/JDHO23EXIODAACG4OWUPXEOGCQ-cr-60.jpg | https://listings-prod.tcimg.net/listings/37330/23/10/1C4HJXEG9MW671023/LJDKFHBZ5DECBEDZNWI372M3BY-cr-60.jpg | https://listings-prod.tcimg.net/listings/37330/23/10/1C4HJXEG9MW671023/BFFIDDJN7V3F277GUZ7MPLJUYY-cr-60.jpg | https://listings-prod.tcimg.net/listings/37330/23/10/1C4HJXEG9MW671023/EVXBWED4ZRJGX4XWL4CLGJ7OGU-cr-60.jpg,truecar,c17dc4fc-a7f0-5a31-b36c-b54dec441a13,07/13/22
2014 Lexus ES,https://www.truecar.com/used-cars-for-sale/listing/JTHBK1GG1E2113784/2014-lexus-es/,ES,17975,USD,JTHBK1GG1E2113784,2014,Lexus,Sedan,Gas,Starfire Pearl,Black,Automatic,3.5L V-6 Gas,149744,FWD,https://listings-prod.tcimg.net/listings/42835/84/37/JTHBK1GG1E2113784/DQAEHEC7DMKULF6YBWWX4BK76M-cr-60.jpg | https://listings-prod.tcimg.net/listings/42835/84/37/JTHBK1GG1E2113784/EGGLYCTJKPA2YU5L63DUE3K3NM-cr-60.jpg | https://listings-prod.tcimg.net/listings/42835/84/37/JTHBK1GG1E2113784/B65ULPZ5TORESP5SK7WWX26VAU-cr-60.jpg | https://listings-prod.tcimg.net/listings/42835/84/37/JTHBK1GG1E2113784/U3IK3EESP4KK672YXWZOIUFVIU-cr-60.jpg | https://listings-prod.tcimg.net/listings/42835/84/37/JTHBK1GG1E2113784/UJJIRKTZOUACL55YKQ2BHH6A6Y-cr-60.jpg,truecar,84434d45-5d98-5a02-9feb-e2c002ef9c93,07/13/22
2017 Toyota Tundra,https://www.truecar.com/used-cars-for-sale/listing/5TFRY5F11HX218206/2017-toyota-tundra/,Tundra,30288,USD,5TFRY5F11HX218206,2017,Toyota,Pickup Truck,Gas,Super White,Black,Automatic,5.7L V-8 Gas,65261,RWD,https://listings-prod.tcimg.net/listings/218232/06/82/5TFRY5F11HX218206/FOM6FSOD7TBMFOA2R6IBLMKU3E-cr-60.jpg | https://listings-prod.tcimg.net/listings/218232/06/82/5TFRY5F11HX218206/AVDW4MH7J6HQVXDN4HEECSU3GA-cr-60.jpg | https://listings-prod.tcimg.net/listings/218232/06/82/5TFRY5F11HX218206/54AG6GWX2LV5VDQVZTRQROZA6I-cr-60.jpg | https://listings-prod.tcimg.net/listings/218232/06/82/5TFRY5F11HX218206/5L74WHSNKJLCWMTWMXK4LAXUDI-cr-60.jpg | https://listings-prod.tcimg.net/listings/218232/06/82/5TFRY5F11HX218206/V7GJDP6B3ZAVFEDS7S45FEHREA-cr-60.jpg,truecar,7a92e9ac-9491-5583-9ebe-58c4e1785647,07/13/22
2019 Jaguar F-TYPE,https://www.truecar.com/used-cars-for-sale/listing/SAJDD1GX2KCK61714/2019-jaguar-f-type/,F-TYPE,52950,USD,SAJDD1GX2KCK61714,2019,Jaguar,Coupe,Gas,Fuji White,Ebony,Automatic,2.0L Inline-4 Gas Turbocharged,7703,RWD,https://listings-prod.tcimg.net/listings/286706/14/17/SAJDD1GX2KCK61714/Y22KRDWR4HI6IKAI26S4ROZTDQ-og-60.jpg | https://listings-prod.tcimg.net/listings/286706/14/17/SAJDD1GX2KCK61714/TM5CBVFOB6SMWEY7352OI572YY-og-60.jpg | https://listings-prod.tcimg.net/listings/286706/14/17/SAJDD1GX2KCK61714/U3MDGDWHX7KCFLX5QWKVFETY6M-og-60.jpg | https://listings-prod.tcimg.net/listings/286706/14/17/SAJDD1GX2KCK61714/UO5SXSYQ657ODK57D7C5JRUET4-og-60.jpg | https://listings-prod.tcimg.net/listings/286706/14/17/SAJDD1GX2KCK61714/PXWTDBS3PZBBJEELETXN3CHDLM-og-60.jpg,truecar,dc3b2b0e-0b10-536a-808c-07edb1792f24,07/13/22
2017 Porsche Cayenne,https://www.truecar.com/used-cars-for-sale/listing/WP1AA2A2XHKA80774/2017-porsche-cayenne/,Cayenne,42250,USD,WP1AA2A2XHKA80774,2017,Porsche,SUV,Gas,Mahogany Metallic,Luxor Beige,Automatic,3.6L V-6 Gas,75118,AWD,https://listings-prod.tcimg.net/listings/76391/74/07/WP1AA2A2XHKA80774/2AYV7EVETKRPDWKO6MB5RGZEAE-cr-60.jpg | https://listings-prod.tcimg.net/listings/76391/74/07/WP1AA2A2XHKA80774/OWMMBM4GY3VHBBUKLNYEZU7ZB4-cr-60.jpg | https://listings-prod.tcimg.net/listings/76391/74/07/WP1AA2A2XHKA80774/DQZCXK4NMUY3QJAQPRS4CFXCUY-cr-60.jpg | https://listings-prod.tcimg.net/listings/76391/74/07/WP1AA2A2XHKA80774/QKHTS4HJK72DMW2AIXM5QQH7NE-cr-60.jpg | https://listings-prod.tcimg.net/listings/76391/74/07/WP1AA2A2XHKA80774/AYOVNYHE7KL2X3HO6TZ47LIL5E-cr-60.jpg,truecar,9a339c84-2447-5cb8-8681-71f8da13ad89,07/13/22
2021 Mazda CX-5,https://www.truecar.com/used-cars-for-sale/listing/JM3KFBCM9M0337779/2021-mazda-cx-5/,CX-5,26697,USD,JM3KFBCM9M0337779,2021,Mazda,SUV,Gas,Snowflake White Pearl Mica,Black,Automatic,2.5L Inline-4 Gas,47640,AWD,https://listings-prod.tcimg.net/listings/87853/79/77/JM3KFBCM9M0337779/I4TMB7XRX6CJXNGGRLRI6LFCEQ-cr-60.jpg | https://listings-prod.tcimg.net/listings/87853/79/77/JM3KFBCM9M0337779/B7GCUA6QOEMZD6L7QIYJACAC4E-cr-60.jpg | https://listings-prod.tcimg.net/listings/87853/79/77/JM3KFBCM9M0337779/3EWJNZN6OGYF6FMY333OK3S6Y4-cr-60.jpg | https://listings-prod.tcimg.net/listings/87853/79/77/JM3KFBCM9M0337779/EXXOFR63QCTBAZ2JUDNW2SG32E-cr-60.jpg | https://listings-prod.tcimg.net/listings/87853/79/77/JM3KFBCM9M0337779/V575OY7OTK2YXEH53JVWKLF4A4-cr-60.jpg,truecar,2e64984b-a506-54ab-962a-a54c37053ace,07/13/22
2019 Honda Pilot,https://www.truecar.com/used-cars-for-sale/listing/5FNYF6H56KB096564/2019-honda-pilot/,Pilot,37329,USD,5FNYF6H56KB096564,2019,Honda,SUV,Gas,Gray,Gray,Automatic,3.5L V-6 Gas,26119,AWD,https://listings-prod.tcimg.net/listings/14190/64/65/5FNYF6H56KB096564/UQAUWNYKLHHIGXSD4E7CA4FEFY-cr-60.jpg | https://listings-prod.tcimg.net/listings/14190/64/65/5FNYF6H56KB096564/HNCACDQKQU3HXL4KORPQA4NEYQ-cr-60.jpg | https://listings-prod.tcimg.net/listings/14190/64/65/5FNYF6H56KB096564/R3Q3WVRFZIUWNBS7IRKQ36EV5I-cr-60.jpg | https://listings-prod.tcimg.net/listings/14190/64/65/5FNYF6H56KB096564/NEDKSS2L32AQUVZSWFK3VP7WPA-cr-60.jpg | https://listings-prod.tcimg.net/listings/14190/64/65/5FNYF6H56KB096564/B7D5J3VRIBB7H6PL756PVFR7WI-cr-60.jpg,truecar,1a8a9e96-9051-5d9f-9f7e-53fcc5f34906,07/13/22
2021 Toyota Tundra,https://www.truecar.com/used-cars-for-sale/listing/5TFEY5F17MX274272/2021-toyota-tundra/,Tundra,39999,USD,5TFEY5F17MX274272,2021,Toyota,Pickup Truck,Gas,Midnight Black Metallic,Graphite,Automatic,5.7L V-8 Gas,23049,RWD,https://listings-prod.tcimg.net/listings/296192/72/42/5TFEY5F17MX274272/TJRKFODWVKFOQZ7AYJ7PN3FBLM-cr-60.jpg | https://listings-prod.tcimg.net/listings/296192/72/42/5TFEY5F17MX274272/7TWTXRQREAQ3QELCTFOK3G3NCA-cr-60.jpg | https://listings-prod.tcimg.net/listings/296192/72/42/5TFEY5F17MX274272/SOEMC76GUKXCGYFZ3Q6RNRWP7A-cr-60.jpg | https://listings-prod.tcimg.net/listings/296192/72/42/5TFEY5F17MX274272/ZZ24CP5WUYBNFVGJCJ7B4CJVIM-cr-60.jpg,truecar,19fee3df-e831-5632-97c8-32f918d1f477,07/13/22
